Index,X,Y,Area,Perimeter,CentroidX,CentroidY,Radius,Circularity
1,494.097,741.035,286,64.2843,493.967,740.967,10.0001,0.869694
2,464.365,483.08,64,31.3137,463.932,482.932,5.0001,0.820202
3,377.572,124.91,300,66.6274,377.313,124.313,10.9234,0.87859
4,561.306,854.068,324,66.6274,560.737,853.737,10.9234,0.881331
5,334.436,697.039,286,64.2843,333.967,696.967,10.0001,0.864463
6,223.587,599.344,312,66.6274,223.34,598.727,10.9234,0.881331
7,104.346,583.089,324,66.6274,103.737,582.737,10.9234,0.87859
8,88.2903,431.146,156,47.3137,87.7094,430.709,7.92155,0.836089
9,326.72,129.772,136.5,46.7279,326.192,129.192,7.92155,0.827936
10,317.331,838.546,196,52.9706,316.656,838.25,8.86409,0.875895
11,275.693,813.803,300,66.6274,275.313,813.313,10.9234,0.87859
12,253.108,345.316,286,64.2843,252.967,344.967,10.0001,0.869694
13,524.87,106.866,17.5,17.0711,523.971,105.971,3.83705,0.832319
14,112.405,629.646,146,47.3137,111.689,629.226,7.92155,0.827936
15,621.451,134.076,156,47.3137,620.709,133.709,7.92155,0.84327
16,414.544,866.564,17.5,17.0711,413.971,865.971,3.83705,0.832319
17,115.453,334.347,206,52.9706,114.673,333.673,8.97632,0.896487
18,146.082,296.364,324,66.6274,145.737,295.737,10.9234,0.881331
19,424.491,105.298,24.5,19.4142,423.544,104.544,3.83705,0.832319
20,610.973,840.961,136.5,46.7279,610.192,840.192,7.92155,0.84327
21,586.96,259.812,268,62.6274,586.68,259.68,10.0001,0.869694
22,447.824,601.861,17.5,17.0711,446.971,600.971,3.83705,0.832319
23,230.114,788.915,20.5,18.2426,229.577,787.927,3.83705,0.832319
24,346.21,466.783,20.5,18.2426,345.577,465.927,3.53563,0.750037
25,481.705,365.146,7,10.8284,480.81,364.571,2.74601,0.717677
26,425.242,779.848,20.5,18.2426,424.577,778.927,3.53563,0.750037
27,349.914,758.772,17.5,17.0711,348.971,757.971,3.53563,0.750037
28,662.928,167.647,300,66.6274,662.313,167.313,10.9234,0.87859
29,159.681,717.514,37.5,25.0711,158.973,716.973,4.94985,0.750895
30,582.84,500.195,20.5,18.2426,581.927,499.577,3.53563,0.750037
31,251.674,453.204,42.5,26.2426,250.953,452.549,4.94985,0.750895
32,510.514,189.996,17.5,17.0711,509.971,188.971,3.83705,0.770504
33,503.038,780.335,24.5,19.4142,502.544,779.544,3.83705,0.832319
34,435.198,698.206,24.5,19.4142,434.544,697.544,3.53563,0.750037
35,170.556,520.87,17.5,17.0711,169.971,519.971,3.83705,0.770504
36,171.55,442.477,20.5,18.2426,170.927,441.577,3.83705,0.770504
37,432.756,188.74,17.5,17.0711,431.971,187.971,3.53563,0.750037
38,369.163,555.349,24.5,19.4142,368.544,554.544,3.83705,0.832319
39,256.246,537.862,20.5,18.2426,255.577,536.927,3.83705,0.832319
40,393.122,388.122,24.5,19.4142,392.544,387.544,3.53563,0.750037
41,279.565,374.059,20.5,18.2426,278.927,373.577,3.83705,0.770504
42,189.402,596.761,20.5,18.2426,188.577,595.927,3.83705,0.832319
43,560.275,411.87,20.5,18.2426,559.577,410.927,3.53563,0.750037
44,497.049,271.022,24.5,19.4142,496.544,270.544,3.83705,0.832319
45,228.034,664.129,24.5,19.4142,227.544,663.544,3.83705,0.832319
46,535.98,578.225,20.5,18.2426,534.927,577.577,3.53563,0.750037
47,192.337,367.557,20.5,18.2426,191.577,366.927,3.83705,0.770504
48,674.369,345.135,286,64.2843,673.967,344.967,10.0001,0.869694
49,238.404,177.832,20.5,18.2426,237.577,176.927,3.83705,0.770504
50,85.5313,532.316,20.5,18.2426,84.9268,531.577,3.83705,0.770504
51,576.776,298.947,17.5,17.0711,575.971,297.971,3.53563,0.750037
52,585.601,211.126,20.5,18.2426,584.927,210.577,3.83705,0.832319
53,356.049,670.16,24.5,19.4142,355.544,669.544,3.53563,0.750037
54,336.666,311.231,20.5,18.2426,335.927,310.577,3.83705,0.770504
55,412.637,274.992,17.5,17.0711,411.971,273.971,3.53563,0.750037
56,356.772,207.673,17.5,17.0711,355.971,206.971,3.83705,0.832319
57,282.608,720.319,20.5,18.2426,281.927,719.577,3.83705,0.832319
58,519.681,693.359,20.5,18.2426,518.927,692.577,3.83705,0.770504
59,232.17,300.267,24.5,19.4142,231.544,299.544,3.83705,0.832319
60,578.559,760.656,17.5,17.0711,577.971,759.971,3.83705,0.770504
61,292.799,614.096,20.5,18.2426,291.927,613.577,3.83705,0.832319
62,652.531,251.373,20.5,18.2426,651.927,250.577,3.53563,0.750037
63,165.804,247.539,17.5,17.0711,164.971,246.971,3.53563,0.750037
64,288.197,245.826,20.5,18.2426,287.577,244.927,3.83705,0.832319
65,707.401,185.672,20.5,18.2426,706.577,184.927,3.83705,0.832319
66,638.886,354.874,17.5,17.0711,637.971,353.971,3.53563,0.750037
67,651.558,593.183,20.5,18.2426,650.927,592.577,3.83705,0.832319
68,595.59,656.14,20.5,18.2426,594.927,655.577,3.83705,0.832319
69,706.928,307.021,20.5,18.2426,705.927,306.577,3.53563,0.750037
70,777.212,257.549,20.5,18.2426,776.577,256.927,3.83705,0.770504
71,646.18,722.604,20.5,18.2426,645.577,721.927,3.83705,0.832319
72,679.369,514.484,24.5,19.4142,678.544,513.544,3.83705,0.770504
73,698.37,792.897,20.5,18.2426,697.577,791.927,3.83705,0.770504
74,675.254,430.745,20.5,18.2426,674.577,429.927,3.83705,0.770504
75,701.656,668.126,20.5,18.2426,700.927,667.577,3.53563,0.750037
76,825.407,344.394,156,47.3137,824.709,343.709,7.92155,0.84327
77,792.723,681.688,268,62.6274,792.68,681.68,10.0001,0.858649
78,744.4,374.579,20.5,18.2426,743.577,373.927,3.53563,0.750037
79,834.672,397.566,268,62.6274,834.68,397.68,10.0001,0.858649
80,820.577,636.852,64,32.4853,820.052,636.052,5.9291,0.836954
81,763.297,449.606,20.5,18.2426,762.577,448.927,3.83705,0.770504
